CAMPUS,CAD_GAP,CAD_MATH,CAD_POST,CAD_PROGRESS,CAD_READ,CAD_SCIE,CAD_SOCI,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,DISTRICT,GRDSPAN,GRDTYPE
"015910045","1","0","0","1","1","0","0","JACKSON MIDDLE","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","06 - 08","M"
"015910046","0","0","1","0","0","1","0","WHITE MIDDLE","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","06 - 08","M"
"015910047","0","0","0","0","0","0","0","WOOD MIDDLE","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","06 - 08","M"
"015910048","1","0","1","1","1","0","0","BRADLEY MIDDLE","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","06 - 08","M"
"015910049","0","0","0","0","0","0","0","DRISCOLL MIDDLE","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","06 - 08","M"
"015910050","1","0","0","1","0","1","1","BUSH MIDDLE","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","06 - 08","M"
"015910053"," "," "," "," "," "," "," ","ALTER MIDDLE","N","BEXAR","015","Not Rated","NORTH EAST ISD","015910","06 - 08","M"
"015910054"," "," "," "," "," "," "," ","HOMEBASED COMP ED","N","BEXAR","015","Not Rated","NORTH EAST ISD","015910","11 - 12","S"
"015910056","1","0","0","0","0","0","1","TEJEDA MIDDLE","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","06 - 08","M"
"015910057","0","0","1","0","0","1","0","LOPEZ MIDDLE","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","06 - 08","M"
"015910058","1","0","0","1","0","1","1","HARRIS MIDDLE","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","06 - 08","M"
"015910059","0","0","0","0","0","0","0","HILL MIDDLE","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","06 - 08","M"
"015910101","0","0","0","0","0","0"," ","CASTLE HILLS EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","KG - 05","E"
"015910102","1","0","0","1","1","0"," ","COKER EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","KG - 05","E"
"015910103","1","0","0","1","1","0"," ","COLONIAL HILLS EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","KG - 05","E"
"015910104","0","0","1","0","0","0"," ","DELLVIEW EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","EE - 05","E"
"015910105","0","0","0","0","0","0"," ","EAST TERRELL HILLS EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","PK - 05","E"
"015910106","0","0","0","0","0","0"," ","HARMONY HILLS EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","EE - 05","E"
"015910107","0","0","0","1","0","0"," ","JACKSON-KELLER EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","KG - 05","E"
"015910108","0","0","0","0","0","0"," ","LARKSPUR EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","KG - 05","E"
"015910109","1","0","1","0","1","1"," ","NORTHWOOD EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","KG - 05","E"
"015910110","0","0","0","0","1","0"," ","OAK GROVE EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","EE - 05","E"
"015910111","1","0","1","1","1","0"," ","OLMOS EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","PK - 05","E"
"015910112","0","0","0","0","0","0"," ","RIDGEVIEW EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","EE - 05","E"
"015910113","0","0","0","0","0","0"," ","SERNA EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","EE - 05","E"
"015910114","0","0","0","0","0","0"," ","WALZEM EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","EE - 05","E"
"015910115","0","0","0","0","0","0"," ","WEST AVENUE EL","N","BEXAR","015","Improvement Required","NORTH EAST ISD","015910","PK - 05","E"
"015910116","1","0","1","1","0","1"," ","WILSHIRE EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","EE - 05","E"
"015910117","0","0","0","0","0","1"," ","WINDCREST EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","KG - 05","E"
"015910118","0","0","0","1","0","0"," ","CAMELOT EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","EE - 05","E"
"015910119","0","0","0","0","0","1"," ","CLEAR SPRING EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","KG - 05","E"
"015910120","0","0","0","0","0","0"," ","REGENCY PLACE EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","KG - 05","E"
"015910121","0","0","0","0","0","0"," ","EL DORADO EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","PK - 05","E"
"015910122","0","0","0","0","0","1"," ","MONTGOMERY EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","EE - 05","E"
"015910123","1","1","1","1","1","1"," ","HIDDEN FOREST EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","KG - 05","E"
"015910124","0","0","0","0","0","0"," ","WOODSTONE EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","KG - 05","E"
"015910125","0","0","0","0","0","0"," ","STAHL EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","KG - 05","E"
"015910126","1","0","0","0","0","1"," ","THOUSAND OAKS EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","KG - 05","E"
"015910127","0","0","0","0","0","0"," ","NORTHERN HILLS EL","N","BEXAR","015","Improvement Required","NORTH EAST ISD","015910","PK - 05","E"
"015910128","0","0","0","0","0","1"," ","REDLAND OAKS EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","EE - 05","E"
"015910129","1","1","1","1","1","0"," ","ENCINO PARK EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","EE - 05","E"
"015910130","0","1","1","0","0","0"," ","FOX RUN EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","EE - 05","E"
"015910131","1","0","0","0","0","1"," ","OAK MEADOW EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","EE - 05","E"
"015910133","0","0","0","0","0","0"," ","STONE OAK EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","EE - 05","E"
"015910134","1","0","1","1","0","0"," ","LONGS CREEK EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","EE - 05","E"
"015910135","0","0","0","0","0","0"," ","HUEBNER EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","EE - 05","E"
"015910136","1","1","1","1","1","0"," ","HARDY OAK EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","EE - 05","E"
"015910137","0","0","0","0","0","0"," ","WETMORE EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","EE - 05","E"
"015910138","0","0","0","0","0","0"," ","ROYAL RIDGE EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","PK - 05","E"
"015910139","1","0","1","1","1","1"," ","ROAN FOREST EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","EE - 05","E"
"015910140","1","0","0","0","0","0"," ","CANYON RIDGE EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","EE - 05","E"
"015910141","0","0","1","0","0","0"," ","STEUBING RANCH EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","KG - 05","E"
"015910142","0","0","0","0","1","0"," ","BULVERDE CREEK","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","EE - 05","E"
"015910143","1","1","1","1","1","1"," ","WILDERNESS OAK EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","KG - 05","E"
"015910144","0","0","0","0","0","1"," ","TUSCANY HEIGHTS","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","KG - 05","E"
"015910145","1","1","1","1","1","0"," ","CIBOLO GREEN","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","KG - 05","E"
"015910146","0","0","0","0","1","0"," ","LAS LOMAS EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","PK - 05","E"
"015910147","0","0","0","0","0","0"," ","VINEYARD RANCH EL","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","PK - 05","E"
"015910160"," "," "," "," "," "," "," ","ALTERNATIVE EL","N","BEXAR","015","Not Rated","NORTH EAST ISD","015910","03 - 05","E"
"015910312"," "," "," "," "," "," "," ","NEISD - PK4SA","N","BEXAR","015","Met Standard","NORTH EAST ISD","015910","PK - PK","E"
"015911001","0","0","0","0","0","0","0","EAST CENTRAL H S","N","BEXAR","015","Met Standard","EAST CENTRAL ISD","015911","09 - 12","S"
"015911003"," "," "," "," "," "," "," ","EAST CENTRAL CHOICE PROGAM","N","BEXAR","015","Not Rated","EAST CENTRAL ISD","015911","06 - 12","B"
"015911004"," "," "," "," "," "," "," ","BEXAR CO J J A E P","N","BEXAR","015","Not Rated","EAST CENTRAL ISD","015911","07 - 12","S"
"015911005"," "," "," "," "," "," "," ","BEXAR COUNTY LRN CTR","N","BEXAR","015","Not Rated","EAST CENTRAL ISD","015911","07 - 12","S"
"015911041","0","0","0","0","0","0"," ","OAK CREST INT","N","BEXAR","015","Met Standard","EAST CENTRAL ISD","015911","04 - 05","E"
"015911042","0","0","0","0","0","0"," ","SALADO INT","N","BEXAR","015","Met Standard","EAST CENTRAL ISD","015911","04 - 05","E"
"015911043","0","0","0","0","0","0","0","EAST CENTRAL HERITAGE MIDDLE","N","BEXAR","015","Met Standard","EAST CENTRAL ISD","015911","06 - 08","M"
"015911044","0","0","0","0","0","0","0","LEGACY MIDDLE","N","BEXAR","015","Improvement Required","EAST CENTRAL ISD","015911","06 - 08","M"
"015911101","0","0","0"," ","0"," "," ","JOHN GLENN EL","N","BEXAR","015","Met Standard","EAST CENTRAL ISD","015911","EE - 03","E"
"015911102","0","0","0"," ","0"," "," ","HARMONY EL","N","BEXAR","015","Improvement Required","EAST CENTRAL ISD","015911","KG - 03","E"
"015911103","0","0","0"," ","0"," "," ","PECAN VALLEY EL","N","BEXAR","015","Met Standard","EAST CENTRAL ISD","015911","EE - 03","E"
"015911104","0","0","0"," ","0"," "," ","SINCLAIR EL","N","BEXAR","015","Met Standard","EAST CENTRAL ISD","015911","KG - 03","E"
"015911105"," "," "," "," "," "," "," ","EAST CENTRAL DEV CTR","N","BEXAR","015","Met Standard","EAST CENTRAL ISD","015911","EE - PK","E"
"015911106","0","0","0"," ","0"," "," ","HIGHLAND FOREST EL","N","BEXAR","015","Improvement Required","EAST CENTRAL ISD","015911","KG - 03","E"
"015911109"," "," "," "," "," "," "," ","PRE/K FOR SA - EAST CENTRAL ISD","N","BEXAR","015","Met Standard","EAST CENTRAL ISD","015911","PK - PK","E"
"015912001","0","0","0","0","0","0","0","SOUTHWEST H S","N","BEXAR","015","Met Standard","SOUTHWEST ISD","015912","09 - 12","S"
"015912005","0","0","0","0","1","0","0","SOUTHWEST LEGACY H S","N","BEXAR","015","Met Standard","SOUTHWEST ISD","015912","09 - 11","S"
"015912011"," "," "," "," "," "," "," ","SOUTHWEST ACADEMY","N","BEXAR","015","Improvement Required","SOUTHWEST ISD","015912","09 - 12","S"
"015912041","0","0","0","0","0","0","0","RONALD E MCNAIR MIDDLE","N","BEXAR","015","Met Standard","SOUTHWEST ISD","015912","06 - 08","M"
"015912042","0","0","0","0","0","0","0","SHARON CHRISTA MCAULIFFE MIDDLE","N","BEXAR","015","Improvement Required","SOUTHWEST ISD","015912","06 - 08","M"
"015912044","0","0","0","0","0","0","1","FRANCIS R SCOBEE MIDDLE","N","BEXAR","015","Met Standard","SOUTHWEST ISD","015912","06 - 08","M"
"015912045","0","0","0","0","0","0","0","JUDITH A RESNIK MIDDLE","N","BEXAR","015","Met Standard","SOUTHWEST ISD","015912","06 - 08","M"
"015912101","1","1","1","1","0","1"," ","SOUTHWEST EL","N","BEXAR","015","Met Standard","SOUTHWEST ISD","015912","EE - 05","E"
"015912102","1","0","1","0","0","1"," ","SUN VALLEY EL","N","BEXAR","015","Met Standard","SOUTHWEST ISD","015912","EE - 05","E"
"015912103","1","0","1","0","0","0"," ","INDIAN CREEK EL","N","BEXAR","015","Met Standard","SOUTHWEST ISD","015912","EE - 05","E"
"015912104","1","0","1","0","0","0"," ","BOB HOPE EL","N","BEXAR","015","Met Standard","SOUTHWEST ISD","015912","PK - 05","E"
"015912105","0","0","1","0","0","0"," ","SKY HARBOUR EL","N","BEXAR","015","Met Standard","SOUTHWEST ISD","015912","EE - 05","E"
"015912106","0","0","0","0","0","0"," ","HIDDEN COVE EL","N","BEXAR","015","Met Standard","SOUTHWEST ISD","015912","PK - 05","E"
"015912107","1","1","1","1","1","1"," ","BIG COUNTRY EL","N","BEXAR","015","Met Standard","SOUTHWEST ISD","015912","EE - 05","E"
"015912108","1","1","1","1","0","0"," ","ELM CREEK EL","N","BEXAR","015","Met Standard","SOUTHWEST ISD","015912","EE - 05","E"
"015912109","1","1","1","1","1","1"," ","KRIEWALD RD EL","N","BEXAR","015","Met Standard","SOUTHWEST ISD","015912","EE - 05","E"
"015912110","0","0","1","0","0","0"," ","SPICEWOOD PARK EL","N","BEXAR","015","Met Standard","SOUTHWEST ISD","015912","EE - 05","E"
"015912111","0","1","1","0","1","1"," ","MEDIO CREEK EL","N","BEXAR","015","Met Standard","SOUTHWEST ISD","015912","EE - 05","E"
"015913001","1","0","0","1","1","0","0","VIRGINIA ALLRED STACEY JR/SR H S","N","BEXAR","015","Met Standard","LACKLAND ISD","015913","06 - 12","B"
"015913101","0","0","0","0","0","0"," ","LACKLAND EL","N","BEXAR","015","Met Standard","LACKLAND ISD","015913","EE - 05","E"
"015914001","0","0","0","0","0","1","0","ROBERT G COLE MIDDLE/HIGH SCHOOL","N","BEXAR","015","Met Standard","FT SAM HOUSTON ISD","015914","06 - 12","B"
"015914101","0","0","1","0","1","1"," ","FT SAM HOUSTON EL","N","BEXAR","015","Met Standard","FT SAM HOUSTON ISD","015914","EE - 05","E"
"015915001","1","1","1","1","0","1","0","HOLMES H S","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","09 - 12","S"
"015915002","0","1","0","0","1","1","1","JAY H S","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","09 - 12","S"
"015915003","1","0","0","0","0","0","0","MARSHALL H S","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","09 - 12","S"
"015915004"," "," "," "," "," "," "," ","HOLMGREEN CENTER","N","BEXAR","015","Not Rated","NORTHSIDE ISD","015915","01 - 12","B"
"015915005","1","0","0","0","0","0","1","CLARK H S","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","09 - 12","S"
"015915006","1","1","1","1","1","1","1","HEALTH CAREERS H S","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","09 - 12","S"
"015915007","0","0","1","0","1","0","1","TAFT H S","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","09 - 12","S"
"015915008"," "," "," "," "," "," "," ","ALTERNATIVE H S","N","BEXAR","015","Not Rated","NORTHSIDE ISD","015915","09 - 12","S"
"015915011"," "," "," "," "," "," "," ","CHAVEZ EXCEL ACADEMY","N","BEXAR","015","Not Rated","NORTHSIDE ISD","015915","12 - 12","S"
"015915013"," "," "," "," "," "," "," ","REDDIX CENTER","N","BEXAR","015","Not Rated","NORTHSIDE ISD","015915","EE - 12","B"
"015915016","1","0","0","0","0","0","0","O'CONNOR H S","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","09 - 12","S"
"015915019","1","0","0","1","0","0","0","WARREN H S","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","09 - 12","S"
"015915022","0","0","0","0","0","0","0","STEVENS H S","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","09 - 12","S"
"015915023","1","0","1","0","0","0","0","BRANDEIS H S","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","09 - 12","S"
"015915024","0","0","0","1","0","0","0","BRENNAN H S","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","09 - 12","S"
"015915025","1","1","1","1","1","1","0","HARLAN H S","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","09 - 11","S"
"015915035"," "," "," "," "," "," "," ","DAEP AT HOLMGREEN","N","BEXAR","015","Not Rated","NORTHSIDE ISD","015915","01 - 11","B"
"015915039"," "," "," "," "," "," "," ","NISD BEXAR COUNTY JJA","N","BEXAR","015","Not Rated","NORTHSIDE ISD","015915","08 - 12","S"
"015915041","0","0","0","0","0","0","0","NEFF MIDDLE","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","06 - 08","M"
"015915042","0","0","0","0","0","1","0","RAYBURN MIDDLE","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","06 - 08","M"
"015915043","0","0","0","0","0","0","0","ROSS MIDDLE","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","06 - 08","M"
"015915044","0","0","0","0","0","0","0","JONES MIDDLE","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","06 - 08","M"
"015915045","0","0","0","0","0","0","1","HOBBY MIDDLE","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","06 - 08","M"
"015915046","0","0","0","0","0","0","0","PEASE MIDDLE","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","06 - 08","M"
"015915047","0","0","0","0","0","0","0","STEVENSON MIDDLE","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","06 - 08","M"
"015915048","0","0","0","0","0","0","1","RUDDER MIDDLE","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","06 - 08","M"
"015915049","0","0","0","0","0","1","0","ZACHRY MIDDLE","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","06 - 08","M"
"015915050","0","0","0","0","0","0","0","STINSON MIDDLE","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","06 - 08","M"
"015915051","0","0","0","0","0","0","1","JORDAN MIDDLE","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","06 - 08","M"
"015915052","0","0","0","0","0","0","0","CONNALLY MIDDLE","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","06 - 08","M"
"015915053","0","0","0","0","0","0","0","RAWLINSON MIDDLE","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","06 - 08","M"
"015915054","0","0","0","0","0","0","0","LUNA MIDDLE","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","06 - 08","M"
"015915055","0","0","0","0","0","0","0","JEFFERSON MIDDLE","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","06 - 08","M"
"015915056","0","0","0","0","0","0","0","VALE MIDDLE","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","06 - 08","M"
"015915057","0","0","0","0","0","1","1","GARCIA MIDDLE","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","06 - 08","M"
"015915058","0","0","0","0","0","0","0","BRISCOE MIDDLE","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","06 - 08","M"
"015915059","0","0","0","0","0","0","1","FOLKS MIDDLE","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","06 - 08","M"
"015915060","0","0","0","0","0","0","0","BERNAL MIDDLE","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","06 - 08","M"
"015915062"," "," "," "," "," "," "," ","ALTERNATIVE MIDDLE","N","BEXAR","015","Not Rated","NORTHSIDE ISD","015915","06 - 08","M"
"015915101","0","0","0","0","0","0"," ","CABLE EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915102","0","0","0","0","0","0"," ","GLENN EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915103","0","0","0","0","0","0"," ","GLENOAKS EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915104","1","0","0","0","0","0"," ","HELOTES EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","KG - 05","E"
"015915105","0","0","0","1","0","1"," ","HULL EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915106","1","0","1","1","1","1"," ","ALLEN EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915107","0","0","0","0","0","0"," ","FISHER EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915108","1","1","1","1","0","0"," ","LEON VALLEY EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915109","0","0","1","0","0","1"," ","LOCKE HILL EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915111","0","1","0","1","0","0"," ","GLASS EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915112","0","0","0","0","0","0"," ","POWELL EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915113","1","1","1","1","1","0"," ","VALLEY HI EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915114","0","0","1","0","0","0"," ","WESTWOOD TERRACE EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915115","0","0","1","0","0","0"," ","COLONIES NORTH EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915116","0","0","0","0","0","0"," ","VILLARREAL EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915117","0","0","0","0","0","0"," ","MEADOW VILLAGE EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915118","0","0","0","0","0","0"," ","OAK HILLS TERRACE EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915119","0","1","0","0","1","1"," ","HOWSMAN EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915122","0","0","0","1","0","1"," ","PASSMORE EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915123","0","0","0","0","0","0"," ","ADAMS HILL EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915124","0","0","0","0","0","0"," ","ESPARZA EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915125","0","0","0","0","0","0"," ","BOONE EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915128","0","0","0","0","0","0"," ","CARLOS COON EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915130","0","0","0","0","0","0"," ","MURNIN EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915131","1","1","1","0","0","1"," ","LINTON EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915132","1","0","0","0","1","1"," ","TIMBERWILDE EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915134","0","0","0","1","0","0"," ","BRAUN STATION EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915135","0","0","0","0","0","0"," ","CODY EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915136","0","0","0","1","0","0"," ","NORTHWEST CROSSING EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915138","0","0","0","1","0","0"," ","KNOWLTON EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915141","1","0","0","1","0","0"," ","FORESTER EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915143","1","1","1","1","1","0"," ","SCOBEE EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915144","0","0","0","0","0","1"," ","GALM EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915145","0","0","0","0","0","0"," ","ELROD EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915148","0","0","0","0","0","0"," ","WANKE EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915149","0","0","0","0","0","0"," ","THORNTON EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915150","1","1","1","1","0","1"," ","BRAUCHLE EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915151","0","0","0","0","0","0"," ","FERNANDEZ EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915152","1","0","0","1","1","0"," ","LEON SPRINGS EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915156","0","0","0","0","0","0"," ","EVERS EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915157","0","0","0","0","0","0"," ","MAY EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915158","0","0","0","0","0","0"," ","MCDERMOTT EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915160","0","0","0","0","0","0"," ","MYERS EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915161","1","0","1","1","0","0"," ","STEUBING EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915162","0","0","0","0","0","0"," ","MICHAEL EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915165","1","1","1","1","0","0"," ","CARSON EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915166","1","1","1","1","1","1"," ","BURKE EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915167","1","1","1","1","1","0"," ","RABA EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915168","1","0","0","1","0","0"," ","LEWIS EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915169","1","1","0","1","1","0"," ","RHODES EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915170","0","0","0","0","0","0"," ","NICHOLS EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915171","0","0","1","0","0","1"," ","DRIGGERS EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915177","0","0","0","0","0","0"," ","CARNAHAN EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915178","0","0","0","0","0","0"," ","AUE EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915179","1","1","0","1","0","0"," ","SCARBOROUGH EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915180","1","0","0","0","0","0"," ","BEARD EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915181","1","1","1","1","0","1"," ","BLATTMAN EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915182","0","0","0","0","0","0"," ","OTT EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915183","1","1","1","1","1","0"," ","WARD EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
"015915184","0","0","0","0","0","0"," ","HATCHETT EL","N","BEXAR","015","Met Standard","NORTHSIDE ISD","015915","EE - 05","E"
